UITVOERDER;TITEL;;;;;;;;;;;;Uitvoerder;Titel
ABBA;Knowing Me Knowing You;;;;;;;;;;;;ABBA;*Knowing Me Knowing You
ABBA;Mamma Mia;;;;;;;;;;;;ABBA;*Mamma Mia
ABBA;Money Money Money;;;;;;;;;;;;ABBA;*Money Money Money
ABBA;One Of Us;;;;;;;;;;;;ABBA;*One Of Us
ABBA;Ring Ring;;;;;;;;;;;;ABBA;*Ring Ring
ABBA;SOS;;;;;;;;;;;;ABBA;*SOS
ABBA;Summer Night City;;;;;;;;;;;;ABBA;*Summer Night City
ABBA;Super Trouper (lead / back);;;;;;;;;;;;ABBA;*Super Trouper (lead / back)
ABBA;Take A Chance On Me (lead / back);;;;;;;;;;;;ABBA;*Take A Chance On Me (lead / back)
ABBA;Thank You For The Music;;;;;;;;;;;;ABBA;*Thank You For The Music
ABBA;The Name Of The Game (lead / back);;;;;;;;;;;;ABBA;*The Name Of The Game (lead / back)
ABBA;The Winner Takes It All;;;;;;;;;;;;ABBA;*The Winner Takes It All
ABBA;Voulez Vous;;;;;;;;;;;;ABBA;*Voulez Vous
ABBA;Waterloo;;;;;;;;;;;;ABBA;*Waterloo
ABC;The look of love;;;;;;;;;;;;ABC;*The look of love
Abel;Onderweg;;;;;;;;;;;;Abel;*Onderweg
ACDC;Back in black;;;;;;;;;;;;ACDC;*Back in black
ACDC;Dirty deeds done dirt cheap (Live);;;;;;;;;;;;ACDC;*Dirty deeds done dirt cheap (Live)
ACDC;For those about to rock;;;;;;;;;;;;ACDC;*For those about to rock
ACDC;Hells Bells (Live);;;;;;;;;;;;ACDC;*Hells Bells (Live)
ACDC;Highway To Hell;;;;;;;;;;;;ACDC;*Highway To Hell
ACDC;Let There Be Rock;;;;;;;;;;;;ACDC;*Let There Be Rock
ACDC;Rock n roll train;;;;;;;;;;;;ACDC;*Rock n roll train
ACDC;T.N.T. (Live);;;;;;;;;;;;ACDC;*T.N.T. (Live)
ACDC;Thunderstruck;;;;;;;;;;;;ACDC;*Thunderstruck
ACDC;Whole Lotta Rosie;;;;;;;;;;;;ACDC;*Whole Lotta Rosie
ACDC;You shook me all night long;;;;;;;;;;;;ACDC;*You shook me all night long
Ace Of Base;All That She Wants;;;;;;;;;;;;Ace Of Base;*All That She Wants
Ace Of Base;Don't Turn Around;;;;;;;;;;;;Ace Of Base;*Don't Turn Around
Ace Of Base;The Sing;;;;;;;;;;;;Ace Of Base;*The Sing
Adamski;Killer;;;;;;;;;;;;Adamski;*Killer
Adele;Chasing Pavements;;;;;;;;;;;;Adele;*Chasing Pavements
Adele;Easy on me;;;;;;;;;;;;Adele;*Easy on me
Adele;Hello;;;;;;;;;;;;Adele;*Hello
Adele;Make You Feel My Love;;;;;;;;;;;;Adele;*Make You Feel My Love
Adele;Rolling in the Deep;;;;;;;;;;;;Adele;*Rolling in the Deep
Adele;Send My Love (To Your New Lover);;;;;;;;;;;;Adele;*Send My Love (To Your New Lover)
Adele;Set Fire To The Rain;;;;;;;;;;;;Adele;*Set Fire To The Rain
Adele;Skyfall;;;;;;;;;;;;Adele;*Skyfall
Adele;Someone Like You;;;;;;;;;;;;Adele;*Someone Like You
Adele;When we were young;;;;;;;;;;;;Adele;*When we were young
Aerosmith;Crazy;;;;;;;;;;;;Aerosmith;*Crazy
Aerosmith;Dude (Looks like a lady);;;;;;;;;;;;Aerosmith;*Dude (Looks like a lady)
Aerosmith;I Don't Want To Miss A Thing;;;;;;;;;;;;Aerosmith;*I Don't Want To Miss A Thing
Aerosmith;Janie's Got A Gun;;;;;;;;;;;;Aerosmith;*Janie's Got A Gun
Aerosmith;Livin' On The Edge;;;;;;;;;;;;Aerosmith;*Livin' On The Edge
Aerosmith;Love In An Elevator;;;;;;;;;;;;Aerosmith;*Love In An Elevator
Aerosmith;Pink;;;;;;;;;;;;Aerosmith;*Pink
Aerosmith;Rag Doll;;;;;;;;;;;;Aerosmith;*Rag Doll
Aerosmith;Walk this way;;;;;;;;;;;;Aerosmith;*Walk this way
Afroman;Because I Got High;;;;;;;;;;;;Afroman;*Because I Got High
Agnes;Release me;;;;;;;;;;;;Agnes;*Release me
Agnes Obel;Riverside;;;;;;;;;;;;Agnes Obel;*Riverside
A-Ha;Crying In The Rain;;;;;;;;;;;;A-Ha;*Crying In The Rain
A-Ha;Hunting High And Low;;;;;;;;;;;;A-Ha;*Hunting High And Low
A-Ha;Take on me;;;;;;;;;;;;A-Ha;*Take on me
A-Ha;The Living Daylights;;;;;;;;;;;;A-Ha;*The Living Daylights
A-Ha;The Sun Always Shines on TV;;;;;;;;;;;;A-Ha;*The Sun Always Shines on TV
Air Supply;All Out Of Love;;;;;;;;;;;;Air Supply;*All Out Of Love
Air Supply;Making love out of nothing at all;;;;;;;;;;;;Air Supply;*Making love out of nothing at all
Akon;Lonely;;;;;;;;;;;;Akon;*Lonely
Akon;Right now (Na na na);;;;;;;;;;;;Akon;*Right now (Na na na)
Al Green;Let's Stay Together;;;;;;;;;;;;Al Green;*Let's Stay Together
Al Stewart;Year of the cat;;;;;;;;;;;;Al Stewart;*Year of the cat
Alan Parsons Project;Don't answer me;;;;;;;;;;;;Alan Parsons Project;*Don't answer me
Alan Walker & Ava Max;Alone, Pt. II;;;;;;;;;;;;Alan Walker & Ava Max;*Alone, Pt. II
Alan Walker ft. . Sophia Somajo;Diamond Heart;;;;;;;;;;;;Alan Walker ft. . Sophia Somajo;*Diamond Heart
Alanis Morissette;Hands Clean;;;;;;;;;;;;Alanis Morissette;*Hands Clean
Alanis Morissette;Ironic;;;;;;;;;;;;Alanis Morissette;*Ironic
Alanis Morissette;Thank U;;;;;;;;;;;;Alanis Morissette;*Thank U
Alanis Morissette;You Learn;;;;;;;;;;;;Alanis Morissette;*You Learn
Alanis Morissette;You oughta know;;;;;;;;;;;;Alanis Morissette;*You oughta know
Alannah Myles;Black Velvet;;;;;;;;;;;;Alannah Myles;*Black Velvet
Albert Hammond;It Never Rains In Southern California;;;;;;;;;;;;Albert Hammond;*It Never Rains In Southern California
Alcazar;This Is The World We Live In;;;;;;;;;;;;Alcazar;*This Is The World We Live In
Alesha Dixon;The boy does nothing;;;;;;;;;;;;Alesha Dixon;*The boy does nothing
Alexander Rybak;Fairytale;;;;;;;;;;;;Alexander Rybak;*Fairytale
Alexandra Burke ft. Flo Rida;Bad Boys;;;;;;;;;;;;Alexandra Burke ft. Flo Rida;*Bad Boys
Alexandra Stan;Mr. Saxobeat;;;;;;;;;;;;Alexandra Stan;*Mr. Saxobeat
Alice Cooper;No More Mr. Nice Guy;;;;;;;;;;;;Alice Cooper;*No More Mr. Nice Guy
Alice Cooper;Poison;;;;;;;;;;;;Alice Cooper;*Poison
Alice Cooper;School's Out (Live);;;;;;;;;;;;Alice Cooper;*School's Out (Live)
Alice Deejay;Better off alone;;;;;;;;;;;;Alice Deejay;*Better off alone
Alice in Chains;Rooster;;;;;;;;;;;;Alice in Chains;*Rooster
Alice In Chains;Them Bones;;;;;;;;;;;;Alice In Chains;*Them Bones
Alice in Chains;Would;;;;;;;;;;;;Alice in Chains;*Would
Alicia Keys;Fallin';;;;;;;;;;;;Alicia Keys;*Fallin'
Alicia Keys;Girl On Fire;;;;;;;;;;;;Alicia Keys;*Girl On Fire
Alicia Keys;No one;;;;;;;;;;;;Alicia Keys;*No one
Alicia Keys;Underdog;;;;;;;;;;;;Alicia Keys;*Underdog
Alien Ant Farm;Smooth Criminal;;;;;;;;;;;;Alien Ant Farm;*Smooth Criminal
Alison Moyet;All cried out;;;;;;;;;;;;Alison Moyet;*All cried out
Alizée;J´en Ai Marre;;;;;;;;;;;;Alizée;*J´en Ai Marre
Alizée;Mademoiselle Juliette;;;;;;;;;;;;Alizée;*Mademoiselle Juliette
Alizée;Moi... Lolita;;;;;;;;;;;;Alizée;*Moi... Lolita
All 4 One;I Swear;;;;;;;;;;;;All 4 One;*I Swear
All Saints;Black Coffee;;;;;;;;;;;;All Saints;*Black Coffee
All Saints;Never Ever;;;;;;;;;;;;All Saints;*Never Ever
All Saints;Pure Shores;;;;;;;;;;;;All Saints;*Pure Shores
All-American Rejects;Dirty Little Secret;;;;;;;;;;;;All-American Rejects;*Dirty Little Secret
All-American Rejects;Gives you hell;;;;;;;;;;;;All-American Rejects;*Gives you hell
Almklausi & Specktakel;Mama Laudaaa;;;;;;;;;;;;Almklausi & Specktakel;*Mama Laudaaa
Aloe Blacc;I need a Dollar;;;;;;;;;;;;Aloe Blacc;*I need a Dollar
Alphabeat;Boyfriend;;;;;;;;;;;;Alphabeat;*Boyfriend
Alphabeat;Fascination;;;;;;;;;;;;Alphabeat;*Fascination
Alphaville;Big in Japan;;;;;;;;;;;;Alphaville;*Big in Japan
Alphaville;Forever Young;;;;;;;;;;;;Alphaville;*Forever Young
Alphaville;Sounds Like A Melody;;;;;;;;;;;;Alphaville;*Sounds Like A Melody
America;A Horse With No Name;;;;;;;;;;;;America;*A Horse With No Name
Amerie;One Thing;;;;;;;;;;;;Amerie;*One Thing
Amii Stewart;Knock On Wood;;;;;;;;;;;;Amii Stewart;*Knock On Wood
Amika;Amika;;;;;;;;;;;;Amika;*Amika
Amy Grant;Baby Baby;;;;;;;;;;;;Amy Grant;*Baby Baby
Amy Grant;It's the most wonderful Time of the Year;;;;;;;;;;;;Amy Grant;*It's the most wonderful Time of the Year
Amy Grant ;Baby Baby;;;;;;;;;;;;Amy Grant ;*Baby Baby
Amy Macdonald;Mr Rock And Roll;;;;;;;;;;;;Amy Macdonald;*Mr Rock And Roll
Amy Macdonald;This is the Life;;;;;;;;;;;;Amy Macdonald;*This is the Life
Amy Winehouse;Back To Black;;;;;;;;;;;;Amy Winehouse;*Back To Black
Amy Winehouse;Love Is A Losing Game;;;;;;;;;;;;Amy Winehouse;*Love Is A Losing Game
Amy Winehouse;Rehab;;;;;;;;;;;;Amy Winehouse;*Rehab
Amy Winehouse;Tears Dry On Their Own;;;;;;;;;;;;Amy Winehouse;*Tears Dry On Their Own
Amy Winehouse;You Know I'm No Good;;;;;;;;;;;;Amy Winehouse;*You Know I'm No Good
Amy Winehouse ft. Mark Ronson;Valerie;;;;;;;;;;;;Amy Winehouse ft. Mark Ronson;*Valerie
Anastacia;I'm Outta Love;;;;;;;;;;;;Anastacia;*I'm Outta Love
Anastacia;Left Outside Alone;;;;;;;;;;;;Anastacia;*Left Outside Alone
Anastacia;One Day In Your Life;;;;;;;;;;;;Anastacia;*One Day In Your Life
Andre Hazes;Bloed, zweet en tranen;;;;;;;;;;;;Andre Hazes;*Bloed, zweet en tranen
Andre Hazes;Een beetje verliefd;;;;;;;;;;;;Andre Hazes;*Een beetje verliefd
Andre Hazes;Zij Gelooft In Mij;;;;;;;;;;;;Andre Hazes;*Zij Gelooft In Mij
Andre Hazes Jr.;Leef;;;;;;;;;;;;Andre Hazes Jr.;*Leef
Andre van Duin;Als de zon schijnt;;;;;;;;;;;;Andre van Duin;*Als de zon schijnt
Andre Van Duin;Er Staat Een Paard In De Gang;;;;;;;;;;;;Andre Van Duin;*Er Staat Een Paard In De Gang
Andrea Bocelli;Con Te Partirò;;;;;;;;;;;;Andrea Bocelli;*Con Te Partirò
Andrea Bocelli;La donna è mobile;;;;;;;;;;;;Andrea Bocelli;*La donna è mobile
Andrea Bocelli & Helene Segara;Vivo Per Lei (+ duet);;;;;;;;;;;;Andrea Bocelli & Helene Segara;*Vivo Per Lei (+ duet)
Andreas Johnson;Glorious;;;;;;;;;;;;Andreas Johnson;*Glorious
Angèle;Balance ton quoi;;;;;;;;;;;;Angèle;*Balance ton quoi
Angèle;Bruxelles je t'aime;;;;;;;;;;;;Angèle;*Bruxelles je t'aime
Angèle;Flou;;;;;;;;;;;;Angèle;*Flou
Angèle ;Bruxelles je t'aime;;;;;;;;;;;;Angèle ;*Bruxelles je t'aime
Animals;Don't Let Me Be Misunderstood;;;;;;;;;;;;Animals;*Don't Let Me Be Misunderstood
Animals;House Of The Rising Sun;;;;;;;;;;;;Animals;*House Of The Rising Sun
Anita Ward;Ring my bell;;;;;;;;;;;;Anita Ward;*Ring my bell
Ann Lee;2 Times;;;;;;;;;;;;Ann Lee;*2 Times
Anna Kendrick;Get Back Up Again;;;;;;;;;;;;Anna Kendrick;*Get Back Up Again
Anna Maria Zimmermann;1000 Träume Weit (Tornerò);;;;;;;;;;;;Anna Maria Zimmermann;*1000 Träume Weit (Tornerò)
Anne-Marie;2002;;;;;;;;;;;;Anne-Marie;*2002
Annie;Heartbeat;;;;;;;;;;;;Annie;*Heartbeat
Annie;I Know Ur Girlfriend Hates Me;;;;;;;;;;;;Annie;*I Know Ur Girlfriend Hates Me
Annie Lennox;No more I love you's;;;;;;;;;;;;Annie Lennox;*No more I love you's
Anouk;Girl;;;;;;;;;;;;Anouk;*Girl
Anouk;Nobody's Wife;;;;;;;;;;;;Anouk;*Nobody's Wife
Aqua;Barbie Girl;;;;;;;;;;;;Aqua;*Barbie Girl
Aqua;Cartoon heroes;;;;;;;;;;;;Aqua;*Cartoon heroes
Aqua;Dr. Jones;;;;;;;;;;;;Aqua;*Dr. Jones
Arcade Fire;Ready To Start;;;;;;;;;;;;Arcade Fire;*Ready To Start
Arcade Fire;Rebellion (Lies);;;;;;;;;;;;Arcade Fire;*Rebellion (Lies)
Arcade Fire;Wake Up;;;;;;;;;;;;Arcade Fire;*Wake Up
Archies;Sugar Sugar;;;;;;;;;;;;Archies;*Sugar Sugar
Arctic Monkeys;505;;;;;;;;;;;;Arctic Monkeys;*505
Arctic Monkeys;Arabella;;;;;;;;;;;;Arctic Monkeys;*Arabella
Arctic Monkeys;Brianstorm;;;;;;;;;;;;Arctic Monkeys;*Brianstorm
Arctic Monkeys;Do I Wanna Know;;;;;;;;;;;;Arctic Monkeys;*Do I Wanna Know
Arctic Monkeys;I Bet you Look Good on the Dance Floor;;;;;;;;;;;;Arctic Monkeys;*I Bet you Look Good on the Dance Floor
Aretha Franklin;A Deeper Love;;;;;;;;;;;;Aretha Franklin;*A Deeper Love
Aretha Franklin;Chain of fools;;;;;;;;;;;;Aretha Franklin;*Chain of fools
Aretha Franklin;Respect;;;;;;;;;;;;Aretha Franklin;*Respect
Aretha Franklin;Think;;;;;;;;;;;;Aretha Franklin;*Think
Aretha Franklin & George Michael;I Knew You Were Waiting (For Me) (+ duet);;;;;;;;;;;;Aretha Franklin & George Michael;*I Knew You Were Waiting (For Me) (+ duet)
Ariana G, Miley C & Lana DR;Don't call me angel;;;;;;;;;;;;Ariana G, Miley C & Lana DR;*Don't call me angel
Ariana Grande;7 Rings;;;;;;;;;;;;Ariana Grande;*7 Rings
Ariana Grande;Breathin;;;;;;;;;;;;Ariana Grande;*Breathin
Ariana Grande;everytime;;;;;;;;;;;;Ariana Grande;*everytime
Ariana Grande;No tears left to cry;;;;;;;;;;;;Ariana Grande;*No tears left to cry
Ariana Grande;One Last Time;;;;;;;;;;;;Ariana Grande;*One Last Time
Ariana Grande;Positions;;;;;;;;;;;;Ariana Grande;*Positions
Ariana Grande;Put Your Hearts Up;;;;;;;;;;;;Ariana Grande;*Put Your Hearts Up
Ariana Grande;Thank U, Next;;;;;;;;;;;;Ariana Grande;*Thank U, Next
Ariana Grande & John Legend;Beauty and the Beast (+ duet);;;;;;;;;;;;Ariana Grande & John Legend;*Beauty and the Beast (+ duet)
Ariana Grande & The Weeknd;Love Me Harder;;;;;;;;;;;;Ariana Grande & The Weeknd;*Love Me Harder
Artemas;I like the way you kiss me;;;;;;;;;;;;Artemas;*I like the way you kiss me
Ashford & Simpson;Solid;;;;;;;;;;;;Ashford & Simpson;*Solid
Ashlee Simpson;Boyfriend;;;;;;;;;;;;Ashlee Simpson;*Boyfriend
Ashlee Simpson;Pieces Of Me;;;;;;;;;;;;Ashlee Simpson;*Pieces Of Me
Asia;Heat Of The Moment;;;;;;;;;;;;Asia;*Heat Of The Moment
Atomic Kitten;Eternal Flame;;;;;;;;;;;;Atomic Kitten;*Eternal Flame
Atomic Kitten;Right Now;;;;;;;;;;;;Atomic Kitten;*Right Now
Atomic Kitten;The Last Goodbye;;;;;;;;;;;;Atomic Kitten;*The Last Goodbye
Atomic Kitten;The Tide Is High;;;;;;;;;;;;Atomic Kitten;*The Tide Is High
Atomic Kitten;Whole Again;;;;;;;;;;;;Atomic Kitten;*Whole Again
Audioslave;Cochise;;;;;;;;;;;;Audioslave;*Cochise
Audrey Hepburn;Moon River;;;;;;;;;;;;Audrey Hepburn;*Moon River
Ava Max;Kings & Queens;;;;;;;;;;;;Ava Max;*Kings & Queens
Ava Max;My Head & My Heart;;;;;;;;;;;;Ava Max;*My Head & My Heart
Ava Max;Salt;;;;;;;;;;;;Ava Max;*Salt
Ava Max;So Am I;;;;;;;;;;;;Ava Max;*So Am I
Ava Max;Sweet But Psycho;;;;;;;;;;;;Ava Max;*Sweet But Psycho
Ava Max ;Maybe you're the problem;;;;;;;;;;;;Ava Max ;*Maybe you're the problem
Ava Max ;Million Dollar Baby;;;;;;;;;;;;Ava Max ;*Million Dollar Baby
Avicii;Levels;;;;;;;;;;;;Avicii;*Levels
Avicii;The nights;;;;;;;;;;;;Avicii;*The nights
Avicii;Waiting For Love;;;;;;;;;;;;Avicii;*Waiting For Love
Avicii;Wake Me Up!;;;;;;;;;;;;Avicii;*Wake Me Up!
Avicii ft. Chris Martin;Heaven;;;;;;;;;;;;Avicii ft. Chris Martin;*Heaven
Avril Lavigne;Complicated;;;;;;;;;;;;Avril Lavigne;*Complicated
Avril Lavigne;Girlfriend;;;;;;;;;;;;Avril Lavigne;*Girlfriend
Avril Lavigne;He wasn't;;;;;;;;;;;;Avril Lavigne;*He wasn't
Avril Lavigne;How Does It Feel;;;;;;;;;;;;Avril Lavigne;*How Does It Feel
Avril Lavigne;I'm With You;;;;;;;;;;;;Avril Lavigne;*I'm With You
Avril Lavigne;My Happy Ending;;;;;;;;;;;;Avril Lavigne;*My Happy Ending
Avril Lavigne;Sk8er Boi;;;;;;;;;;;;Avril Lavigne;*Sk8er Boi
Avril Lavigne;When You're Gone;;;;;;;;;;;;Avril Lavigne;*When You're Gone
Avril Lavigne;Wish You Were Here;;;;;;;;;;;;Avril Lavigne;*Wish You Were Here
Axelle Red;Parce que c'est toi;;;;;;;;;;;;Axelle Red;*Parce que c'est toi
Axelle Red;Rester Femme;;;;;;;;;;;;Axelle Red;*Rester Femme
Axelle Red;Sensualité;;;;;;;;;;;;Axelle Red;*Sensualité
B-52's;(Meet) The Flintstones;;;;;;;;;;;;B-52's;*(Meet) The Flintstones
B-52's;Love Shack;;;;;;;;;;;;B-52's;*Love Shack
B-52's;Roam;;;;;;;;;;;;B-52's;*Roam
Baccara;Sorry I'm a lady;;;;;;;;;;;;Baccara;*Sorry I'm a lady
Backstreet Boys;As Long As You Love Me;;;;;;;;;;;;Backstreet Boys;*As Long As You Love Me
Backstreet Boys;Drowning;;;;;;;;;;;;Backstreet Boys;*Drowning
Backstreet Boys;Everybody;;;;;;;;;;;;Backstreet Boys;*Everybody
Backstreet Boys;I Want It That Way;;;;;;;;;;;;Backstreet Boys;*I Want It That Way
Backstreet Boys;I'll Never Break Your Heart;;;;;;;;;;;;Backstreet Boys;*I'll Never Break Your Heart
Backstreet Boys;Quit playing games with my heart;;;;;;;;;;;;Backstreet Boys;*Quit playing games with my heart
Backstreet Boys;Shape Of My Heart;;;;;;;;;;;;Backstreet Boys;*Shape Of My Heart
Backstreet Boys;Show Me The Meaning Of Being Lonely;;;;;;;;;;;;Backstreet Boys;*Show Me The Meaning Of Being Lonely
Backstreet Boys;We've got it goin' on;;;;;;;;;;;;Backstreet Boys;*We've got it goin' on
Bad Company;Feel Like Makin' Love;;;;;;;;;;;;Bad Company;*Feel Like Makin' Love
Bad Religion;21st Century (Digital Boy);;;;;;;;;;;;Bad Religion;*21st Century (Digital Boy)
Baltimora;Tarzan Boy;;;;;;;;;;;;Baltimora;*Tarzan Boy
Bananarama;Cruel Summer;;;;;;;;;;;;Bananarama;*Cruel Summer
Bananarama;I Heard A Rumour;;;;;;;;;;;;Bananarama;*I Heard A Rumour
Bananarama;Love In The First Degree;;;;;;;;;;;;Bananarama;*Love In The First Degree
Bananarama;Venus;;;;;;;;;;;;Bananarama;*Venus
Band Aid;Do They Know It's Christmas;;;;;;;;;;;;Band Aid;*Do They Know It's Christmas
Bangles;Eternal Flame;;;;;;;;;;;;Bangles;*Eternal Flame
Bangles;Manic Monday;;;;;;;;;;;;Bangles;*Manic Monday
Bangles;Walk like an Egyptian;;;;;;;;;;;;Bangles;*Walk like an Egyptian
Barbara Streisand;Memory;;;;;;;;;;;;Barbara Streisand;*Memory
Barbara Streisand;Woman In Love;;;;;;;;;;;;Barbara Streisand;*Woman In Love
Barenaked Ladies;One Week;;;;;;;;;;;;Barenaked Ladies;*One Week
Barry Manilow;Copacabana;;;;;;;;;;;;Barry Manilow;*Copacabana
Barry Manilow;Mandy;;;;;;;;;;;;Barry Manilow;*Mandy
Barry White;Can't Get Enough Of Your Love Baby;;;;;;;;;;;;Barry White;*Can't Get Enough Of Your Love Baby
Barry White;You're The First, The Last, My Everything;;;;;;;;;;;;Barry White;*You're The First, The Last, My Everything
Bart Herman;Ik ga dood aan jou;;;;;;;;;;;;Bart Herman;*Ik ga dood aan jou
Bart Kaëll;Zeil je voor het eerst;;;;;;;;;;;;Bart Kaëll;*Zeil je voor het eerst
Bart Peeters;Liefde Is Alles;;;;;;;;;;;;Bart Peeters;*Liefde Is Alles
Bart Van Den Bossche;De Heuveltjes Van Erika;;;;;;;;;;;;Bart Van Den Bossche;*De Heuveltjes Van Erika
Baseballs;Umbrella;;;;;;;;;;;;Baseballs;*Umbrella
Bastille;Of The Night;;;;;;;;;;;;Bastille;*Of The Night
Bastille;Pompeii (+ duet);;;;;;;;;;;;Bastille;*Pompeii (+ duet)
Bauhaus;She's in parties;;;;;;;;;;;;Bauhaus;*She's in parties
Beach Boys;Kokomo;;;;;;;;;;;;Beach Boys;*Kokomo
Beach Boys;Surfin' USA;;;;;;;;;;;;Beach Boys;*Surfin' USA
Beach Boys;Wouldn't It Be Nice;;;;;;;;;;;;Beach Boys;*Wouldn't It Be Nice
Beastie Boys;Fight For Your Right;;;;;;;;;;;;Beastie Boys;*Fight For Your Right
Beastie Boys;Girls;;;;;;;;;;;;Beastie Boys;*Girls
Beastie Boys;Sabotage;;;;;;;;;;;;Beastie Boys;*Sabotage
Beatles;A Day in The Life;;;;;;;;;;;;Beatles;*A Day in The Life
Beatles;A Hard Day's Night;;;;;;;;;;;;Beatles;*A Hard Day's Night
Beatles;All My Loving;;;;;;;;;;;;Beatles;*All My Loving
Beatles;All You Need Is Love;;;;;;;;;;;;Beatles;*All You Need Is Love
Beatles;Back In The U.S.S.R;;;;;;;;;;;;Beatles;*Back In The U.S.S.R
Beatles;Can't Buy Me Love;;;;;;;;;;;;Beatles;*Can't Buy Me Love
Beatles;Come Together;;;;;;;;;;;;Beatles;*Come Together
Beatles;Drive My Car;;;;;;;;;;;;Beatles;*Drive My Car
Beatles;Eight Days A Week;;;;;;;;;;;;Beatles;*Eight Days A Week
Beatles;Eleanor Rigby;;;;;;;;;;;;Beatles;*Eleanor Rigby
Beatles;From Me To You;;;;;;;;;;;;Beatles;*From Me To You
Beatles;Get Back;;;;;;;;;;;;Beatles;*Get Back
Beatles;Help!;;;;;;;;;;;;Beatles;*Help!
Beatles;Here Comes The Sun;;;;;;;;;;;;Beatles;*Here Comes The Sun
Beatles;Hey Jude;;;;;;;;;;;;Beatles;*Hey Jude
Beatles;I Want To Hold Your Hand;;;;;;;;;;;;Beatles;*I Want To Hold Your Hand
Beatles;Let It Be;;;;;;;;;;;;Beatles;*Let It Be
Beatles;Penny Lane;;;;;;;;;;;;Beatles;*Penny Lane
Beatles;Please Please Me;;;;;;;;;;;;Beatles;*Please Please Me
Beatles;She Loves You;;;;;;;;;;;;Beatles;*She Loves You
Beatles;Yellow Submarine;;;;;;;;;;;;Beatles;*Yellow Submarine
Beatles;Yesterday;;;;;;;;;;;;Beatles;*Yesterday
Beautiful South;A Little Time (Briana / Dave);;;;;;;;;;;;Beautiful South;*A Little Time (Briana / Dave)
Bebe Rexha;Sacrifice;;;;;;;;;;;;Bebe Rexha;*Sacrifice
Beck;Devil's Haircut;;;;;;;;;;;;Beck;*Devil's Haircut
Beck;Loser;;;;;;;;;;;;Beck;*Loser
Beck;Lost Cause;;;;;;;;;;;;Beck;*Lost Cause
Bee Gees;How Deep Is Your Love;;;;;;;;;;;;Bee Gees;*How Deep Is Your Love
Bee Gees;Jive Talkin;;;;;;;;;;;;Bee Gees;*Jive Talkin
Bee Gees;Massachusetts;;;;;;;;;;;;Bee Gees;*Massachusetts
Bee Gees;Night Fever;;;;;;;;;;;;Bee Gees;*Night Fever
Bee Gees;Tragedy;;;;;;;;;;;;Bee Gees;*Tragedy
Bee Gees;You Should Be Dancing;;;;;;;;;;;;Bee Gees;*You Should Be Dancing
Belinda Carlisle;Circle in the sand;;;;;;;;;;;;Belinda Carlisle;*Circle in the sand
Belinda Carlisle;Heaven Is A Place On Earth;;;;;;;;;;;;Belinda Carlisle;*Heaven Is A Place On Earth
Belinda Carlisle;I get weak;;;;;;;;;;;;Belinda Carlisle;*I get weak
Belinda Carlisle;La Luna;;;;;;;;;;;;Belinda Carlisle;*La Luna
Belinda Carlisle;Leave a light on;;;;;;;;;;;;Belinda Carlisle;*Leave a light on
Bellamy Brothers;Let Your Love Flow;;;;;;;;;;;;Bellamy Brothers;*Let Your Love Flow
Benny Neyman;Vrijgezel;;;;;;;;;;;;Benny Neyman;*Vrijgezel
Benson Boone;Beautiful Things;;;;;;;;;;;;Benson Boone;*Beautiful Things
